month,avg_ride_length
Jan,12.059755813897722
Feb,13.362600335693632
Mar,13.503838371962827
Apr,14.87763861630384
May,16.916840673691187
Jun,17.24217811114828
Jul,17.48002976071942
Aug,16.61754254463048
Sep,15.995582809461954
Oct,14.085398946865732
Nov,12.406795601776498
Dec,11.751874434908093
